AVL_id,Ticket_id,Schedule_id,Bus_id,Driver_id,Route_id,Timestamp,Bus_Speed,Passenger_Count,Scheduled_Time,Actual_Time,Route_Delay,Bus_Fuel_Consumption,Bus_Behavior_Score,Day_of_Week
5861,76898,376,317,1809,29,2024-09-10 07:09:00,48.7,95,2024-09-10 07:14:00,2024-09-10 07:30:00,16,15.02,67.37,Tuesday
8927,62736,295,415,1264,9,2024-09-06 21:46:00,57.81,5,2024-09-06 21:55:00,2024-09-06 21:56:00,1,6.63,6.03,Friday
2780,39979,335,76,1099,43,2024-09-22 05:32:00,73.26,78,2024-09-22 05:34:00,2024-09-22 05:48:00,14,12.12,21.95,Sunday
3337,51853,412,154,1210,69,2024-09-25 15:09:00,63.14,74,2024-09-25 15:16:00,2024-09-25 15:14:00,1438,10.04,8.79,Wednesday
4275,93632,992,232,1229,23,2024-09-30 08:30:00,53.85,30,2024-09-30 08:35:00,2024-09-30 08:38:00,3,10.62,86.85,Monday
4590,17884,845,157,1471,93,2024-09-08 14:05:00,69.23,35,2024-09-08 14:11:00,2024-09-08 14:28:00,17,11.38,66.12,Sunday
3492,27396,206,457,1982,24,2024-09-28 17:30:00,42.11,24,2024-09-28 17:39:00,2024-09-28 17:39:00,0,19.54,24.23,Saturday
6047,98480,280,270,1002,99,2024-09-05 10:57:00,53.38,31,2024-09-05 11:02:00,2024-09-05 11:05:00,3,19.91,12.76,Thursday
2102,94524,341,380,1757,78,2024-09-28 06:23:00,78.49,87,2024-09-28 06:27:00,2024-09-28 06:39:00,12,12.46,33.42,Saturday
7524,42327,107,50,1545,31,2024-09-11 09:54:00,38.6,14,2024-09-11 09:54:00,2024-09-11 10:03:00,9,13.73,44.21,Wednesday
3724,97820,750,148,1603,54,2024-09-06 07:04:00,33.89,39,2024-09-06 07:12:00,2024-09-06 07:24:00,12,15.5,65.97,Friday
5926,69572,195,100,1241,99,2024-09-14 09:02:00,57.88,38,2024-09-14 09:12:00,2024-09-14 09:13:00,1,18.61,19.55,Saturday
5121,70629,466,36,1935,59,2024-09-03 05:34:00,63.93,96,2024-09-03 05:40:00,2024-09-03 05:58:00,18,6.46,14.98,Tuesday
6666,99476,507,346,1266,58,2024-09-05 10:35:00,59.11,93,2024-09-05 10:36:00,2024-09-05 10:31:00,1435,19.41,49.35,Thursday
5768,76943,166,218,1615,73,2024-09-29 02:29:00,49.23,4,2024-09-29 02:29:00,2024-09-29 02:46:00,17,9.91,87.29,Sunday
9882,84249,377,243,1509,94,2024-09-10 07:50:00,50.26,88,2024-09-10 07:52:00,2024-09-10 08:11:00,19,16.66,90.26,Tuesday
8865,63116,867,241,1886,82,2024-09-29 05:55:00,71.32,23,2024-09-29 05:56:00,2024-09-29 06:12:00,16,9.87,5.45,Sunday
4015,79262,668,314,1145,69,2024-09-01 04:53:00,48.08,28,2024-09-01 04:53:00,2024-09-01 05:13:00,20,12.64,24.7,Sunday
2218,76931,434,294,1364,81,2024-09-09 04:56:00,68.31,14,2024-09-09 04:59:00,2024-09-09 05:00:00,1,16.59,61.21,Monday
7381,34299,284,250,1570,68,2024-09-29 04:46:00,65.09,83,2024-09-29 04:47:00,2024-09-29 04:52:00,5,14.03,96.27,Sunday
4484,92848,535,6,1847,72,2024-09-23 00:22:00,55.2,71,2024-09-23 00:29:00,2024-09-23 00:24:00,1435,11.61,5.75,Monday
3435,23418,852,143,1301,56,2024-09-14 16:04:00,68.21,95,2024-09-14 16:10:00,2024-09-14 16:07:00,1437,15.07,36.47,Saturday
8657,20882,275,40,1797,81,2024-09-25 03:33:00,40.5,50,2024-09-25 03:42:00,2024-09-25 03:51:00,9,8.49,81.82,Wednesday
4478,46318,637,220,1765,44,2024-09-22 13:55:00,58.16,71,2024-09-22 14:01:00,2024-09-22 14:17:00,16,10.19,54.51,Sunday
9486,52843,167,325,1194,20,2024-09-30 03:56:00,57.1,54,2024-09-30 04:00:00,2024-09-30 04:16:00,16,14.64,20.93,Monday
5280,61548,338,334,1494,99,2024-09-28 02:03:00,57.04,30,2024-09-28 02:04:00,2024-09-28 02:04:00,0,19.61,78.54,Saturday
1661,27583,407,56,1050,85,2024-09-24 21:36:00,55.77,84,2024-09-24 21:40:00,2024-09-24 21:36:00,1436,15.03,36.84,Tuesday
3132,11192,606,329,1418,100,2024-09-10 18:29:00,43.49,66,2024-09-10 18:35:00,2024-09-10 18:34:00,1439,7.65,63.89,Tuesday
9149,57834,200,282,1385,74,2024-09-24 17:29:00,34.81,97,2024-09-24 17:31:00,2024-09-24 17:36:00,5,10.05,56.79,Tuesday
4532,37849,496,172,1604,43,2024-09-19 23:58:00,36.94,87,2024-09-20 00:01:00,2024-09-20 00:14:00,13,9.35,51.09,Thursday
9806,82016,970,236,1640,65,2024-09-02 07:36:00,77.3,88,2024-09-02 07:46:00,2024-09-02 07:43:00,1437,16.98,71.06,Monday
